root_id,cell_type,top_nt,side
720575940622836970,DNpe012,acetylcholine,left
720575940623498876,DNge094,acetylcholine,right
720575940638159472,DNg92_b,acetylcholine,right
720575940620404182,DNg05_b,glutamate,left
720575940640156301,DNge014,,left
720575940610010521,DNp17,acetylcholine,right
720575940625890812,DNpe008,acetylcholine,left
720575940611087786,DNge091,acetylcholine,left
720575940634207087,DNg09,acetylcholine,left
720575940609366648,DNg11,gaba,left
720575940632868051,DNbe001,acetylcholine,left
720575940613731270,DNpe008,acetylcholine,right
720575940610863310,DNg02_a,acetylcholine,right
720575940619315888,DNpe009,acetylcholine,left
720575940618870113,DNge095,acetylcholine,left
720575940633853559,DNp17,acetylcholine,right
720575940617296699,DNg36_b,serotonin,right
720575940614147701,DNpe015,acetylcholine,right
720575940641305229,DNg02_d,acetylcholine,left
720575940607854793,DNpe011,acetylcholine,left
720575940623528842,DNpe012,acetylcholine,right
720575940625539984,DNp49,glutamate,left
720575940628398202,DNp17,acetylcholine,left
720575940635175263,DNg12_c,acetylcholine,left
720575940623193293,DNge094,acetylcholine,right
720575940638019184,DNge145,acetylcholine,right
720575940615502604,DNpe011,acetylcholine,left
720575940606607234,DNge040,glutamate,right
720575940621640885,DNg12_b,acetylcholine,right
720575940625550398,DNg05_b,serotonin,right
720575940619024816,DNpe015,serotonin,right
720575940628800207,DNg03,serotonin,left
720575940623491987,DNg110,acetylcholine,right
720575940622505511,DNpe015,acetylcholine,left
720575940629139968,DNge113,acetylcholine,right
720575940612373423,DNge094,acetylcholine,left
720575940628582607,DNg82,acetylcholine,right
720575940636104767,DNge111,acetylcholine,right
720575940621304723,DNpe015,acetylcholine,right
720575940619089005,DNpe011,acetylcholine,left
720575940623992300,DNp17,acetylcholine,right
720575940632900665,DNpe022,acetylcholine,right
720575940612028017,DNge114,serotonin,left
720575940637101413,DNa07,acetylcholine,left
720575940618182480,DNg01,serotonin,left
720575940617030585,DNpe010,glutamate,right
720575940640128720,DNpe015,acetylcholine,right
720575940621783628,DNge094,acetylcholine,left
720575940632634532,DNg57,acetylcholine,right
720575940627691458,DNg82,acetylcholine,right
720575940623934096,DNge110,acetylcholine,left
720575940615495867,DNge091,acetylcholine,right
720575940612922851,DNg05_b,dopamine,right
720575940617873201,DNpe029,acetylcholine,left
720575940644473760,DNg84,acetylcholine,left
720575940622728728,DNge145,acetylcholine,right
720575940608877266,DNpe018,acetylcholine,right
720575940636606554,DNge091,acetylcholine,left
720575940632934751,DNge094,serotonin,right
720575940615364564,DNge094,acetylcholine,left
720575940605656521,DNge015,acetylcholine,left
720575940631829059,DNg09,acetylcholine,right
720575940626877639,DNg09,acetylcholine,right
720575940605041330,DNp16,acetylcholine,right
720575940604729312,DNge094,acetylcholine,left
720575940615630237,DNpe015,serotonin,left
720575940628993871,DNge014,acetylcholine,right
720575940625744784,DNp17,acetylcholine,right
720575940632303441,DNge025,acetylcholine,right
720575940607037635,DNp17,acetylcholine,left
720575940612682467,DNp51,acetylcholine,left
720575940618402694,DNpe015,acetylcholine,right
720575940617390641,DNg12_b,acetylcholine,right
720575940627542316,DNpe011,acetylcholine,right
720575940621586473,DNg09,acetylcholine,left
720575940628895787,DNp17,acetylcholine,right
720575940613998860,DNg03,,right
720575940618550699,DNpe015,acetylcholine,left
720575940614348438,DNae006,acetylcholine,left
720575940636898270,DNge145,acetylcholine,left
720575940613793170,DNg02_b,acetylcholine,left
720575940632409130,DNg03,acetylcholine,left
720575940620470976,DNg53,acetylcholine,right
720575940626238716,DNge089,acetylcholine,left
720575940615219417,DNp16,acetylcholine,left
720575940628437291,DNp35,acetylcholine,left
720575940622347784,DNg05_b,glutamate,left
720575940630492714,DNg02_d,acetylcholine,right
